description,category
Donation payment,Other
bought a birthday gift for mom,Shopping
sent money - stationery shop,Other
Water bill bill paid,Bills
night out - inox,Entertainment
filled petrol tank on the way home,Transport
Movie - PVR Cinemas,Entertainment
Paid Wifi bill - ACT,Bills
Bought clothes - Flipkart,Shopping
Paid for Gift to friend,Other
Paid for ATM withdrawal,Other
Night out - Amusement park,Entertainment
Flipkart purchase,Shopping
Airtel postpaid payment,Bills
H&M purchase,Shopping
weekend concert tickets,Entertainment
insurance premium payment,Bills
Bought clothes - H&M,Shopping
electricity board,Bills
flight ticket booking for work trip,Transport
Breakfast Street food stall,Food
Festive season shopping spree,Shopping
Shell petrol pump fare,Transport
Shoes from Reliance Trends,Shopping
new phone case online,Shopping
zomato,Food
Rapido ride,Transport
MOVIE - PLAYSTATION STORE,Entertainment
Paid Spotify subscription,Bills
Donation expense,Other
local mall purchase shopping,Shopping
car service and oil change,Transport
Online order - H&M,Shopping
donated to a charity fund,Other
Purchase from Furniture shop,Shopping
Lunch at Street food stall,Food
fastag recharge,Transport
Gas cylinder booking payment,Bills
insurance premium bill paid,Bills
Fuel - Shell petrol pump,Transport
Cab - Auto rickshaw,Transport
House rent,Bills
Gift to friend,Other
Water bill auto-debit,Bills
Reliance Trends,Shopping
shoes for the trek,Shopping
Furniture shop shopping,Shopping
home decor items for the living room,Shopping
Maintenance fee payment,Bills
Shoes from Furniture shop,Shopping
school fees for sibling,Other
Electronics store shopping,Shopping
Broadband internet renewal,Bills
BookMyShow purchase,Entertainment
Amusement park tickets,Entertainment
Fuel - Metro card recharge,Transport
Haircut - salon,Other
Coffee at Cafe Coffee Day,Food
weekend brunch with family,Food
Travel - Parking fee,Transport
credit card bill payment,Bills
Sent money - Gift to friend,Other
Purchase from Local mall purchase,Shopping
Spotify subscription auto-debit,Bills
Split a pizza with roommates,Food
House rent,Bills
Spotify subscription auto-debit,Bills
Monthly Electricity board,Bills
Movie - BookMyShow,Entertainment
Night out - Bowling alley,Entertainment
atm withdrawal,Other
paid toll on highway,Transport
Night out - PlayStation Store,Entertainment
amusement park,Entertainment
auto fare to the station,Transport
indianoil petrol pump ride,Transport
Cash withdrawal,Other
Wifi bill - ACT payment,Bills
Sent money - Medical store,Other
Paid for Miscellaneous,Other
SNACKS - LOCAL RESTAURANT,Food
Sent money - Miscellaneous,Other
Fastag trip,Transport
Miscellaneous expense,Other
Donation,Other
domino's pizza delivery,Food
ordered biryani via a food app,Food
mobile recharge for the month,Bills
Airtel postpaid bill paid,Bills
split a pizza with roommates,Food
Train ticket - IRCTC recharge,Transport
Food order from Cafe Coffee Day,Food
Gas cylinder booking bill paid,Bills
Auto rickshaw,Transport
shoes from local mall purchase,Shopping
Club entry purchase,Entertainment
Movie - PVR Cinemas,Entertainment
Electricity board bill paid,Bills
vegetables from the local market,Food
Bus ticket recharge,Transport
Pizza Hut delivery,Food
annual insurance premium payment,Bills
Online order - Ajio,Shopping
Zomato order,Food
Club entry tickets,Entertainment
Ajio,Shopping
Sent money to a friend,Other
milk and bread from the corner store,Food
Shell petrol pump booking,Transport
Auto rickshaw ride,Transport
Broadband internet renewal,Bills
bank transfer payment,Other
split a pizza with roommates,Food
video game purchase on sale,Entertainment
Bought clothes - H&M,Shopping
Bus ticket booking,Transport
ORDERED FOOD VIA MCDONALD'S,Food
paid netflix subscription,Bills
Dinner - Cafe Coffee Day,Food
bought a birthday gift for mom,Shopping
Coffee at Subway,Food
streaming service auto-renewal,Bills
Online order - Zara,Shopping
gas cylinder booking auto-debit,Bills
KFC delivery,Food
Movie - Club entry,Entertainment
shoes for the trek,Shopping
home decor items for the living room,Shopping
Dinner - Bakery,Food
Ajio,Shopping
Paid for Miscellaneous,Other
Movie - BookMyShow,Entertainment
TRAIN TICKET - IRCTC RECHARGE,Transport
amusement park tickets,Entertainment
Night out - INOX,Entertainment
Amusement park,Entertainment
Bought clothes - Electronics store,Shopping
Coffee at Ice cream shop,Food
Paid for Haircut - salon,Other
Purchase from Reliance Trends,Shopping
ZOMATO DELIVERY,Food
Breakfast Bakery,Food
Recharged fastag for toll,Transport
filled petrol tank on the way home,Transport
Bought clothes - Reliance Trends,Shopping
haircut at the salon,Other
lunch at kfc,Food
IndianOil petrol pump fare,Transport
Purchase from Flipkart,Shopping
Amusement park booking,Entertainment
Bus ticket fare,Transport
Airtel postpaid,Bills
movie - inox,Entertainment
Amusement park booking,Entertainment
Monthly Airtel postpaid,Bills
Water bill bill paid,Bills
INOX,Entertainment
BluSmart,Transport
movie - inox,Entertainment
new headphones from an online store,Shopping
Reliance Trends,Shopping
TRAVEL - UBER,Transport
Metro card recharge trip,Transport
video game purchase on sale,Entertainment
Sent money - Miscellaneous,Other
BREAKFAST ZOMATO,Food
Dinner - Starbucks,Food
House rent payment,Bills
Monthly Netflix subscription,Bills
swiggy,Food
Zomato delivery,Food
festive season shopping spree,Shopping
Swiggy payment,Food
Sent money - ATM withdrawal,Other
ZOMATO DELIVERY,Food
PURCHASE FROM AMAZON,Shopping
Haircut at the salon,Other
medical store payment,Other
ATM withdrawal payment,Other
Jio recharge auto-debit,Bills
Water bill due,Bills
Breakfast Street food stall,Food
McDonald's delivery,Food
lost and had to pay a late fine,Other
Cafe Coffee Day payment,Food
Biryani place payment,Food
h&m shopping,Shopping
IndianOil petrol pump trip,Transport
Sent money - Pharmacy,Other
Netflix subscription auto-debit,Bills
PlayStation Store,Entertainment
Bank transfer expense,Other
Auto rickshaw fare,Transport
broadband internet renewal,Bills
sent money - cash withdrawal,Other
mobile recharge for the month,Bills
toll plaza booking,Transport
NIGHT OUT - PVR CINEMAS,Entertainment
PlayStation Store booking,Entertainment
INOX tickets,Entertainment
Electronics store purchase,Shopping
Cab - Bus ticket,Transport
Bought a laptop bag,Shopping
Online order - Furniture shop,Shopping
Club entry,Entertainment
Snacks - Street food stall,Food
Lunch at Pizza Hut,Food
Concert tickets purchase,Entertainment
Travel - Shell petrol pump,Transport
Paid Spotify subscription,Bills
Paid Gas cylinder booking,Bills
Donation payment,Other
AJIO SHOPPING,Shopping
Fuel - Shell petrol pump,Transport
Water bill,Bills
Water bill payment,Bills
bought a birthday gift for mom,Shopping
reliance trends,Shopping
maintenance fee payment,Bills
Ice cream shop order,Food
fastag,Transport
Food order from Cafe Coffee Day,Food
H&M order,Shopping
Auto rickshaw booking,Transport
Movie - Bowling alley,Entertainment
Sent money - Stationery shop,Other
Paid the doctor's fee,Other
Paid Spotify subscription,Bills
RELIANCE TRENDS,Shopping
karaoke night with friends,Entertainment
Water bill due,Bills
Parking fee,Transport
UBER RECHARGE,Transport
Snacks - Bakery,Food
Jio recharge,Bills
new headphones from an online store,Shopping
Night out - BookMyShow,Entertainment
filled petrol tank on the way home,Transport
indianoil petrol pump fare,Transport
Sent money - ATM withdrawal,Other
shoes for the trek,Shopping
arcade night out,Entertainment
Auto rickshaw ride,Transport
SNACKS - BIRYANI PLACE,Food
donated to a charity fund,Other
house rent due,Bills
grabbed a cab to airport,Transport
Breakfast Local restaurant,Food
Monthly Electricity board,Bills
Bus ticket recharge,Transport
Travel - Fastag,Transport
Amusement park purchase,Entertainment
PAID JIO RECHARGE,Bills
Train ticket - IRCTC ride,Transport
Breakfast Biryani place,Food
Paid for Cash withdrawal,Other
Ordered food via Bakery,Food
grabbed a quick bite downtown,Food
Stand-up comedy show tickets,Entertainment
monthly parking pass renewal,Transport
Ola ride,Transport
lunch at biryani place,Food
haircut at the salon,Other
streaming service auto-renewal,Bills
Bank transfer expense,Other
Shoes from Zara,Shopping
Water bill,Bills
grabbed a quick bite downtown,Food
grabbed a cab to airport,Transport
Movie - Amusement park,Entertainment
Food order from Street food stall,Food
Cab - Train ticket - IRCTC,Transport
Paid for Donation,Other
Movie - PlayStation Store,Entertainment
Coffee at Zomato,Food
Paid for Stationery shop,Other
recharged fastag for toll,Transport
Ajio order,Shopping
Tickets via BookMyShow,Entertainment
Milk and bread from the corner store,Food
BookMyShow,Entertainment
credit card bill payment,Bills
Sent money - Pharmacy,Other
Miscellaneous expense,Other
Shoes from Reliance Trends,Shopping
parking fee,Transport
Night out - Bowling alley,Entertainment
Ajio,Shopping
Zara purchase,Shopping
Purchase from Reliance Trends,Shopping
purchase from reliance trends,Shopping
Ordered food via Zomato,Food
Shoes from Nike store,Shopping
Bought clothes - Decathlon,Shopping
PAID SPOTIFY SUBSCRIPTION,Bills
annual insurance premium payment,Bills
Metro card recharge trip,Transport
Uber,Transport
lost and had to pay a late fine,Other
karaoke night with friends,Entertainment
COFFEE AT STREET FOOD STALL,Food
medicine from the pharmacy,Other
Domino's Pizza,Food
bookmyshow tickets,Entertainment
BluSmart booking,Transport
electricity board late payment,Bills
Lunch at Pizza Hut,Food
bought a laptop bag,Shopping
Paid Spotify subscription,Bills
Club entry tickets,Entertainment
Cash withdrawal expense,Other
SENT MONEY - CASH WITHDRAWAL,Other
Bus ticket fare,Transport
Toll plaza,Transport
Amazon order,Shopping
Ajio purchase,Shopping
MISCELLANEOUS PAYMENT,Other
weekend brunch with family,Food
grabbed a quick bite downtown,Food
PlayStation Store purchase,Entertainment
Food order from Street food stall,Food
Shoes from H&M,Shopping
Gift to friend expense,Other
vegetables from the local market,Food
Maintenance fee payment,Bills
electronics store shopping,Shopping
Donation expense,Other
Bought clothes - Zara,Shopping
lunch at street food stall,Food
Sent money - Pharmacy,Other
Concert tickets tickets,Entertainment
weekend concert tickets,Entertainment
Ajio order,Shopping
Paid for Bank transfer,Other
Cafe Coffee Day,Food
Parking fee trip,Transport
fuel - rapido,Transport
amusement park entry tickets,Entertainment
movie - bookmyshow,Entertainment
Amusement park purchase,Entertainment
Sent money - Haircut - salon,Other
Metro card recharge,Transport
filled petrol tank on the way home,Transport
Paid Netflix subscription,Bills
Ordered food via Ice cream shop,Food
grabbed a quick bite downtown,Food
PURCHASE FROM NIKE STORE,Shopping
travel - bus ticket,Transport
Mobile recharge for the month,Bills
cash withdrawal,Other
Cab - Auto rickshaw,Transport
Snacks - McDonald's,Food
insurance premium auto-debit,Bills
Ola recharge,Transport
car service and oil change,Transport
Movie - Gaming - Steam,Entertainment
Amusement park purchase,Entertainment
arcade night out,Entertainment
BookMyShow,Entertainment
medical store,Other
Monthly Water bill,Bills
sent money to a friend,Other
Pizza Hut order,Food
Paid for Donation,Other
Cab - Metro card recharge,Transport
TICKETS VIA PVR CINEMAS,Entertainment
Cab - IndianOil petrol pump,Transport
Lunch at Cafe Coffee Day,Food
PAID WATER BILL,Bills
Lunch at KFC,Food
paid the doctor's fee,Other
ATM withdrawal expense,Other
Insurance premium auto-debit,Bills
BookMyShow purchase,Entertainment
Maintenance fee payment,Bills
paid toll on highway,Transport
credit card bill payment,Bills
IndianOil petrol pump booking,Transport
ORDERED FOOD VIA SUBWAY,Food
Gaming - Steam purchase,Entertainment
Home decor items for the living room,Shopping
Paid for Pharmacy,Other
Ajio shopping,Shopping
Parking fee ride,Transport
Food order from Pizza Hut,Food
SENT MONEY - MISCELLANEOUS,Other
Reliance Trends purchase,Shopping
Monthly Wifi bill - ACT,Bills
miscellaneous expense,Other
PAID FOR BANK TRANSFER,Other
movie - club entry,Entertainment
metro card recharge,Transport
gift to friend,Other
CASH WITHDRAWAL PAYMENT,Other
Monthly House rent,Bills
Miscellaneous expense,Other
paid for miscellaneous,Other
monthly gym membership fee,Bills
Sent money - Donation,Other
Auto rickshaw trip,Transport
Club entry,Entertainment
IndianOil petrol pump recharge,Transport
bookmyshow,Entertainment
Movie - BookMyShow,Entertainment
Movie - Club entry,Entertainment
Subway,Food
Bus ticket recharge,Transport
Movie - Bowling alley,Entertainment
Subway delivery,Food
Purchase from Decathlon,Shopping
H&M shopping,Shopping
Broadband internet renewal,Bills
Lunch at Biryani place,Food
Breakfast Biryani place,Food
Weekend brunch with family,Food
PURCHASE FROM RELIANCE TRENDS,Shopping
Stationery shop expense,Other
Train ticket - IRCTC fare,Transport
Paid for Stationery shop,Other
Cash withdrawal,Other
Local restaurant,Food
ATM withdrawal payment,Other
McDonald's delivery,Food
House rent,Bills
bus ticket recharge,Transport
Car service and oil change,Transport
Club entry booking,Entertainment
Airtel postpaid due,Bills
Concert tickets booking,Entertainment
PVR Cinemas tickets,Entertainment
amusement park tickets,Entertainment
Train ticket - IRCTC,Transport
tickets via playstation store,Entertainment
auto fare to the station,Transport
Reliance Trends order,Shopping
Weekend brunch with family,Food
TICKETS VIA GAMING - STEAM,Entertainment
Bank transfer expense,Other
Airtel postpaid,Bills
Paid Maintenance fee,Bills
milk and bread from the corner store,Food
milk and bread from the corner store,Food
Night out - Amusement park,Entertainment
ATM withdrawal,Other
Tickets via BookMyShow,Entertainment
Local mall purchase order,Shopping
Spotify subscription payment,Bills
H&M,Shopping
Fuel - Rapido,Transport
paid for biryani at new restaurant,Food
Paid for Bank transfer,Other
Bowling alley,Entertainment
Vegetables from the local market,Food
Donation payment,Other
Fastag,Transport
Movie - INOX,Entertainment
grabbed a cab to airport,Transport
flight ticket booking for work trip,Transport
Decathlon,Shopping
Paid for biryani at new restaurant,Food
Bus ticket recharge,Transport
Toll plaza fare,Transport
home decor items for the living room,Shopping
Fuel - Uber,Transport
furniture shop shopping,Shopping
Paid for ATM withdrawal,Other
ordered biryani via a food app,Food
PlayStation Store tickets,Entertainment
Bought clothes - H&M,Shopping
INOX BOOKING,Entertainment
PlayStation Store booking,Entertainment
paid for medical store,Other
Metro card recharge booking,Transport
tickets via playstation store,Entertainment
Paid for Stationery shop,Other
Bowling alley booking,Entertainment
MEDICAL STORE EXPENSE,Other
Amusement park,Entertainment
Paid for Cash withdrawal,Other
Bowling alley,Entertainment
Electronics store,Shopping
medicine from the pharmacy,Other
wifi bill - act auto-debit,Bills
Fuel - Toll plaza,Transport
Cash withdrawal expense,Other
bought a laptop bag,Shopping
Netflix subscription bill paid,Bills
BREAKFAST ZOMATO,Food
Rapido ride,Transport
paid for miscellaneous,Other
Movie - BookMyShow,Entertainment
Movie - PVR Cinemas,Entertainment
Local mall purchase order,Shopping
Paid the doctor's fee,Other
MEDICAL STORE EXPENSE,Other
Shell petrol pump,Transport
Amusement park tickets,Entertainment
Gaming - Steam tickets,Entertainment
H&M purchase,Shopping
Gaming - Steam,Entertainment
Bought clothes - Decathlon,Shopping
Medicine from the pharmacy,Other
Shoes from Flipkart,Shopping
Fuel - Fastag,Transport
Amusement park booking,Entertainment
INOX purchase,Entertainment
paid toll on highway,Transport
Amazon shopping,Shopping
Shoes from Electronics store,Shopping
Parking fee,Transport
pharmacy payment,Other
stand-up comedy show tickets,Entertainment
Jio recharge payment,Bills
Decathlon,Shopping
Netflix subscription auto-debit,Bills
Bowling alley tickets,Entertainment
sent money to a friend,Other
Gift to friend payment,Other
Gift to friend expense,Other
Night out - BookMyShow,Entertainment
Sent money - Stationery shop,Other
INOX tickets,Entertainment
HAIRCUT - SALON EXPENSE,Other
Monthly Gas cylinder booking,Bills
Paid for Medical store,Other
monthly gym membership fee,Bills
Food order from McDonald's,Food
Travel - Metro card recharge,Transport
PlayStation Store booking,Entertainment
Cab - Uber,Transport
paid maintenance fee,Bills
snacks - biryani place,Food
Insurance premium auto-debit,Bills
Uber trip,Transport
PlayStation Store,Entertainment
donated to a charity fund,Other
Cash withdrawal payment,Other
CASH WITHDRAWAL PAYMENT,Other
arcade night out,Entertainment
DINNER - LOCAL RESTAURANT,Food
Paid Insurance premium,Bills
CAB - BLUSMART,Transport
electricity board late payment,Bills
Movie - Bowling alley,Entertainment
Monthly Insurance premium,Bills
GAS CYLINDER BOOKING AUTO-DEBIT,Bills
Gift to friend payment,Other
BluSmart recharge,Transport
Bought clothes - Myntra,Shopping
Shoes from H&M,Shopping
Paid for Pharmacy,Other
Ola booking,Transport
swiggy order,Food
Movie - PVR Cinemas,Entertainment
PHARMACY EXPENSE,Other
Night out - Bowling alley,Entertainment
Stand-up comedy show tickets,Entertainment
Netflix subscription payment,Bills
Watched a movie with friends,Entertainment
INOX tickets,Entertainment
Swiggy order,Food
watched a movie with friends,Entertainment
electricity board late payment,Bills
Electronics store purchase,Shopping
Paid Electricity board,Bills
Food order from Bakery,Food
Zomato delivery,Food
Auto rickshaw trip,Transport
split a pizza with roommates,Food
STREET FOOD STALL DELIVERY,Food
ATM withdrawal payment,Other
blusmart ride,Transport
Paid Netflix subscription,Bills
Purchase from Reliance Trends,Shopping
monthly parking pass renewal,Transport
Online order - Nike store,Shopping
Movie - Concert tickets,Entertainment
Online order - H&M,Shopping
credit card bill payment,Bills
Monthly Water bill,Bills
bought groceries for the week,Food
Ordered food via McDonald's,Food
Jio recharge,Bills
club entry booking,Entertainment
ordered biryani via a food app,Food
donated to a charity fund,Other
insurance premium payment,Bills
Ice cream shop,Food
Food order from Subway,Food
Cab - Bus ticket,Transport
Zomato order,Food
Insurance premium due,Bills
Reliance Trends order,Shopping
Fuel - Uber,Transport
Paid for Gift to friend,Other
Cab - Bus ticket,Transport
PAID FOR CASH WITHDRAWAL,Other
Ordered food via Zomato,Food
Electronics store order,Shopping
karaoke night with friends,Entertainment
Tickets via Bowling alley,Entertainment
watched a movie with friends,Entertainment
flight ticket booking for work trip,Transport
Club entry booking,Entertainment
BluSmart trip,Transport
watched a movie with friends,Entertainment
monthly insurance premium,Bills
Jio recharge bill paid,Bills
lost and had to pay a late fine,Other
Toll plaza booking,Transport
Cab - Metro card recharge,Transport
Toll plaza,Transport
House rent,Bills
weekend concert tickets,Entertainment
Local mall purchase,Shopping
Movie - INOX,Entertainment
paid netflix subscription,Bills
medical store expense,Other
Biryani place,Food
MONTHLY INSURANCE PREMIUM,Bills
Furniture shop,Shopping
STARBUCKS DELIVERY,Food
sent money - cash withdrawal,Other
Insurance premium bill paid,Bills
Local restaurant order,Food
Train ticket - IRCTC fare,Transport
Local restaurant payment,Food
Cash withdrawal expense,Other
Wifi bill - ACT,Bills
Bought a birthday gift for mom,Shopping
House rent bill paid,Bills
Nike store,Shopping
CAFE COFFEE DAY ORDER,Food
Shoes from Myntra,Shopping
Monthly Maintenance fee,Bills
Shoes from Furniture shop,Shopping
ATM withdrawal,Other
Train ticket - IRCTC trip,Transport
Coffee at Zomato,Food
Bought clothes - Local mall purchase,Shopping
streaming service auto-renewal,Bills
Purchase from Furniture shop,Shopping
recharged fastag for toll,Transport
Fastag,Transport
Paid for Pharmacy,Other
school fees for sibling,Other
Night out - BookMyShow,Entertainment
Miscellaneous expense,Other
Insurance premium payment,Bills
paid the doctor's fee,Other
Monthly Netflix subscription,Bills
Haircut - salon expense,Other
AUTO RICKSHAW RECHARGE,Transport
Airtel postpaid bill paid,Bills
Maintenance fee auto-debit,Bills
playstation store booking,Entertainment
Train ticket - IRCTC,Transport
Sent money - Medical store,Other
Gaming - Steam,Entertainment
monthly jio recharge,Bills
Bowling alley tickets,Entertainment
monthly house rent,Bills
FOOD ORDER FROM ICE CREAM SHOP,Food
Paid Wifi bill - ACT,Bills
INSURANCE PREMIUM PAYMENT,Bills
Sent money - Stationery shop,Other
Amusement park entry tickets,Entertainment
BluSmart ride,Transport
Ice cream shop delivery,Food
ajio,Shopping
Wifi bill - ACT auto-debit,Bills
Shell petrol pump booking,Transport
grabbed a cab to airport,Transport
IndianOil petrol pump fare,Transport
PURCHASE FROM AMAZON,Shopping
Donation expense,Other
Electronics store order,Shopping
Airtel postpaid auto-debit,Bills
Online order - Local mall purchase,Shopping
Pharmacy payment,Other
ONLINE ORDER - RELIANCE TRENDS,Shopping
tickets via playstation store,Entertainment
ordered biryani via a food app,Food
Tickets via INOX,Entertainment
Haircut - salon payment,Other
BREAKFAST PIZZA HUT,Food
ZARA PURCHASE,Shopping
breakfast ice cream shop,Food
Wifi bill - ACT bill paid,Bills
Myntra,Shopping
Shell petrol pump recharge,Transport
Wifi bill - ACT,Bills
Paid for biryani at new restaurant,Food
Movie - Concert tickets,Entertainment
Food order from Domino's Pizza,Food
PVR CINEMAS PURCHASE,Entertainment
subway delivery,Food
FOOD ORDER FROM KFC,Food
Auto rickshaw,Transport
Sent money - Haircut - salon,Other
Shoes for the trek,Shopping
Ice cream shop delivery,Food
